YearMonth,Fund_A,Fund_B,Fund_C,Fund_D,Bench
2022-01,0.0376,-0.0304,0.0621,-0.0501,0.0295
2022-02,0.0936,-0.0336,-0.0167,0.01,-0.0141
2022-03,-0.056,0.0087,-0.0365,0.0249,-0.0308
2022-04,0.068,-0.0253,-0.0069,0.0385,-0.0432
2022-05,0.0151,0.0583,-0.0583,0.0134,0.0164
2022-06,0.0373,-0.0435,-0.0468,0.0269,0.0179
2022-07,0.016,0.0199,-0.0212,0.0153,0.0177
2022-08,-0.0226,0.0806,0.025,-0.0417,0.0323
2022-09,-0.033,0.0375,0.0523,-0.0268,0.0445
2022-10,0.0225,0.0389,0.0819,-0.0038,-0.0241
2022-11,-0.0296,-0.0266,0.0029,0.0196,0.0171
2022-12,0.0391,0.0065,0.0641,-0.0046,0.1148
2023-01,0.031,-0.0283,-0.0368,0.0253,-0.0029
2023-02,0.0346,0.0249,0.0031,-0.0279,-0.0546
2023-03,-0.0119,0.0403,0.0146,-0.0438,0.0129
2023-04,0.0214,-0.0294,0.0121,0.0083,-0.0397
2023-05,0.0203,0.0284,0.0493,0.0482,-0.0491
2023-06,-0.0315,0.0266,0.0266,0.0266,0.1601
2023-07,0.0288,0.0514,0.0442,0.0321,-0.0066
2023-08,0.0364,-0.0249,-0.0035,-0.0134,0.0093
2023-09,0.0986,-0.0687,0.0335,-0.0585,-0.0129
2023-10,0.0496,0.0086,-0.0371,-0.0226,0.0332
2023-11,-0.0232,0.0147,0.0078,-0.0201,0.0918
2023-12,0.0314,-0.075,0.0135,-0.0205,0.0401
2024-01,-0.0257,0.0014,0.0262,0.0406,-0.042
2024-02,-0.0074,-0.013,-0.0201,0.0766,0.0222
2024-03,-0.0444,0.0427,0.0909,0.0473,-0.0548
2024-04,-0.0134,0.0567,-0.0223,0.0238,0.037
2024-05,-0.0311,0.0036,-0.1237,-0.035,-0.0041
2024-06,-0.0439,0.0713,-0.0512,-0.0116,0.0112
2024-07,0.0637,-0.0514,0.0525,0.0064,-0.0333
2024-08,0.0245,0.014,-0.018,0.0088,-0.0094
2024-09,0.0105,0.0325,0.0694,-0.0435,0.0913
2024-10,-0.0721,-0.0001,0.0295,0.0172,-0.0189
2024-11,-0.0023,-0.0137,-0.0176,0.04,0.0203
2024-12,-0.0217,0.042,0.0183,0.0385,0.0312
