date,AAA,BBB
2025-01-02,1006.68,1991.44
2025-01-03,1005.32,1988.42
2025-01-06,1013.96,1968.21
2025-01-07,1034.02,1946.55
2025-01-08,1031.38,1962.02
2025-01-09,1028.75,1987.8
2025-01-10,1049.84,1986.92
2025-01-13,1060.46,2006.33
2025-01-14,1054.63,2013.68
2025-01-15,1062.28,2001.92
2025-01-16,1056.52,2009.24
2025-01-17,1050.75,2039.14
2025-01-20,1054.38,2038.94
2025-01-21,1029.67,2069.8
2025-01-22,1007.94,2019.67
2025-01-23,1001.22,2035.9
2025-01-24,988.92,2038.06
2025-01-27,993.24,2032.8
2025-01-28,982.33,2035.05
2025-01-29,965.39,1997.66
2025-01-30,983.77,1993.99
2025-01-31,981.36,2001.21
2025-02-03,982.59,2029.83
2025-02-04,965.49,2020.4
2025-02-05,959.27,2005.5
2025-02-06,961.0,1996.49
2025-02-07,947.54,2014.31
2025-02-10,952.41,2021.06
2025-02-11,945.61,2011.45
2025-02-12,942.51,2021.71
2025-02-13,935.76,2024.04
2025-02-14,958.24,2043.14
2025-02-17,958.46,2030.12
2025-02-18,946.14,2024.32
2025-02-19,956.38,2017.32
2025-02-20,942.16,1990.08
2025-02-21,945.01,1996.14
2025-02-24,922.33,2001.54
2025-02-25,907.39,2002.12
2025-02-26,910.0,1998.16
2025-02-27,918.87,1972.08
2025-02-28,921.22,1964.73
2025-03-03,920.25,1958.84
2025-03-04,917.13,1944.51
2025-03-05,900.56,1942.01
2025-03-06,892.78,1949.91
2025-03-07,887.97,1985.44
2025-03-10,900.23,1989.19
2025-03-11,904.49,1994.52
2025-03-12,884.98,1993.59
2025-03-13,888.95,1958.23
2025-03-14,885.0,1958.21
2025-03-17,877.83,1959.79
2025-03-18,884.97,2006.42
2025-03-19,896.9,2003.25
2025-03-20,907.85,2009.45
2025-03-21,898.65,2009.27
2025-03-24,895.51,1987.67
2025-03-25,899.62,2009.73
2025-03-26,911.1,2024.54
